Target	Compound	True	RFR	MLPR	LR
CHEMBL2094126	CHEMBL1270230	-7.901007	-4.846777472762572	-5.32372773252342	-2.4979047877601532
CHEMBL2148	CHEMBL3932456	-6.413459	-6.201515614187284	-6.660440843105855	-6.0198217895353014
CHEMBL4523	CHEMBL3676261	-4.343805	-5.097092704604336	-7.458369070417944	-3.3153355532849877
CHEMBL2959	CHEMBL481362	-8.517193	-4.874087139176884	-5.9854149674341	-5.801633908220034
CHEMBL1936	CHEMBL3673962	-4.60517	-5.118184892754393	-4.1184867250729775	-5.538073739089645
CHEMBL4630	CHEMBL517744	-3.401197	-4.624928997277514	-3.4126028218522504	-3.179308219655984
CHEMBL1913	CHEMBL1940272	-1.098612	-3.3721019977084152	-2.2240388124409156	-3.1946735522827314
CHEMBL2148	CHEMBL1079594	-0.0	-3.365509890981135	-0.10620160992256403	-4.487562870243279
CHEMBL1913	CHEMBL120077	-1.435085	-5.316117840684431	-7.5206976167988	-5.035718342723046
CHEMBL203	CHEMBL1242198	-6.356108	-6.386337911704242	-6.338665501403275	-6.60225231578847
CHEMBL3920	CHEMBL585113	-3.713572	-2.0987922924953395	-3.744701879359856	-2.1840740271377665
CHEMBL203	CHEMBL50344	-2.397895	-3.020877679681193	-1.4240373101509782	-3.2744714368333705
CHEMBL3553	CHEMBL1650951	-8.994048	-7.066653994035192	-8.177881021251034	-7.332888649977002
CHEMBL1907601	CHEMBL180431	-0.0	-2.242881786823238	-0.8504038024128195	-1.9779958830620945
CHEMBL1868	CHEMBL379088	-2.944439	-4.8319890128313725	-3.912906365995965	-5.3758687112890495
CHEMBL2185	CHEMBL510472	-5.393628	-6.1367944140601836	-5.923993039703876	-5.767969367267143
CHEMBL4376	CHEMBL4072506	-5.135798	-6.8643315859201985	-7.545013533700496	-6.8033471021150795
CHEMBL279	CHEMBL3975954	-8.358385	-7.424763439942066	-8.015310479929965	-8.035547302527032
CHEMBL2358	CHEMBL3955237	-6.907755	-6.998456530345188	-6.907964245586882	-6.989946606793453
CHEMBL1913	CHEMBL3358996	-4.60517	-5.056909165632471	-4.070017907771529	-5.434595041681913
CHEMBL279	CHEMBL428534	-3.401197	-4.180977985056816	-3.4135147489243653	-4.185139601816419
CHEMBL5147	CHEMBL3893058	-6.907755	-5.38069388590149	-6.006130540565072	-5.396566735609177
CHEMBL4523	CHEMBL3890727	1.820159	0.7155214299621067	2.169692873275802	0.8825193696108826
CHEMBL1957	CHEMBL517340	-2.079442	-2.186718001450939	-0.958572220587207	-0.524586284650379
CHEMBL1868	CHEMBL2004290	-1.456287	-1.9606302397838302	-3.656435065568433	-3.073597896131073
CHEMBL1974	CHEMBL1807789	-2.302585	-3.6840502458398974	-5.599893460313338	-3.99325363775662
CHEMBL203	CHEMBL1272325	-3.044522	-4.869643851064491	-6.792522976416006	-4.805474369599752
CHEMBL2842	CHEMBL1822059	-5.433722	-3.233262681738093	-3.4977960615858787	-2.2750401205019717
CHEMBL3983	CHEMBL2443139	-2.302585	-3.391229273452379	-2.6017262344114314	-2.6611438624019836
CHEMBL1974	CHEMBL3987184	-6.289716	-4.717285792743225	-3.895913813167278	-3.959386371254041
CHEMBL1981	CHEMBL3608522	-1.648659	-2.222206155584416	-1.6684968506985045	-3.3320182407303096
CHEMBL2971	CHEMBL3895546	-3.713572	-4.3286415155244455	-4.368489552286881	-4.774856047335804
CHEMBL1913	CHEMBL2409775	-2.944439	-2.6659763552303417	-0.6881924964131783	-2.1002068227193176
CHEMBL331	CHEMBL3684979	-5.549076	-2.018938831047773	-3.5103210331812065	-2.6318076809570567
CHEMBL2971	CHEMBL2208032	-6.113682	-5.094899732813719	-7.3581802807115375	-5.0064502970365865
CHEMBL4722	CHEMBL3955990	-1.410987	0.01911097586586178	-1.5443198543113272	-1.536783626518945
CHEMBL4439	CHEMBL340203	-4.51086	-6.500615680000003	-7.046076325536552	-6.107070145203892
CHEMBL3717	CHEMBL3357442	-3.939638	-4.631889828154406	-4.571241198094958	-4.3868335489519605
CHEMBL2094126	CHEMBL190636	-2.995732	-4.173124826071429	-3.7471215174779213	-3.1081139566460463
CHEMBL2148	CHEMBL3974989	-5.480639	-5.623293525065806	-4.9378813500554415	-5.908292346678173
CHEMBL260	CHEMBL480940	-4.997212	-4.583456089463711	-4.166092392520422	-5.428271918828861
CHEMBL4224	CHEMBL1802964	-7.740664	-7.131142303999993	-6.969172353776223	-6.713903290288645
CHEMBL1907601	CHEMBL433590	-7.438384	-6.760970835503456	-6.947297244417386	-7.477270275776305
CHEMBL4070	CHEMBL2087013	-7.377759	-7.6446552999999975	-7.865362719347704	-7.162671789757356
CHEMBL2971	CHEMBL3645111	-3.206803	-4.65335622685872	-2.739578906276717	-6.037421153148312
CHEMBL2637	CHEMBL2425655	-4.736198	-5.112066327579538	-6.496442808087994	-5.088200949785063
CHEMBL1957	CHEMBL1256432	-4.465908	-4.407525741355925	-4.265097482804983	-3.858112193579975
CHEMBL1974	CHEMBL2035050	-2.833213	-2.768205417621477	-1.8422625507068504	-2.7772284426455136
CHEMBL2276	CHEMBL1822132	-2.772589	-3.347463469575193	-3.4424637927601225	-4.287014342288017
CHEMBL279	CHEMBL3604468	-4.804021	-5.4844937023438085	-5.8518354565856345	-5.649394204382483
CHEMBL4282	CHEMBL3672488	-3.850148	-3.7795429552013973	-4.285927031455487	-3.159013375172006
CHEMBL2094138	CHEMBL226898	-2.564949	-2.934052196312501	-2.2872880592071754	-4.218000649574989
CHEMBL203	CHEMBL408683	-5.991465	-6.748956472925311	-5.932256449904554	-6.797990196767339
CHEMBL301	CHEMBL1922209	-4.70048	-5.179097542030976	-4.5631927541337465	-4.861670369539784
CHEMBL279	CHEMBL1242107	-5.687382	-3.7908478252729263	-4.4461265874609674	-3.8981876233768022
CHEMBL3582	CHEMBL313814	-8.517193	-5.316503764480768	-5.513370995057508	-5.710774563956434
CHEMBL3717	CHEMBL1834657	-8.010028	-6.792933370302457	-8.302773072929767	-7.024862742410245
CHEMBL203	CHEMBL119156	-8.128125	-7.426935804634661	-7.7682444041241165	-7.549627473085471
CHEMBL1974	CHEMBL3918739	-8.565616	-3.6730420873792022	-1.6213085584306233	-6.8188530725345196
CHEMBL5408	CHEMBL3895745	-4.60517	-4.074850783555532	-4.220590878950083	-3.900371502160186
CHEMBL4523	CHEMBL3923254	-4.305416	-4.012005779754931	-5.0059842598202176	-3.3890909947076784
CHEMBL3038477	CHEMBL3918554	-6.907755	-3.693067962763781	-3.777837850583709	-3.629136629902066
CHEMBL1907600	CHEMBL261252	-8.517193	-7.701935863373931	-8.196933975587188	-7.724735282519144
CHEMBL3553	CHEMBL3965485	-6.907755	-5.953284304693063	-5.280985309004197	-5.186629765327686
CHEMBL1907605	CHEMBL4063842	-6.897705	-6.757285277543391	-6.903983235631325	-7.297274807724193
CHEMBL5407	CHEMBL3691913	-1.693779	-1.743812570360255	-1.078836210328167	-1.7467403065217622
CHEMBL5543	CHEMBL1898197	-3.637586	-4.271318693031843	-3.789565474943712	-4.718200290223111
CHEMBL279	CHEMBL362486	-1.774952	-3.4053523245707216	-0.24421718240359186	-3.8112502303168845
CHEMBL4523	CHEMBL3949896	-4.136765	-0.698383154349544	-1.1203816697177524	-0.7762960703694146
CHEMBL2358	CHEMBL3969313	-6.907755	-6.979342957157751	-6.889211271765469	-7.011331782343652
CHEMBL1957	CHEMBL2088096	-8.749823	-6.551145331064145	-7.214871218195919	-8.256339593249729
CHEMBL2599	CHEMBL3971588	-2.079442	-3.3093914415588337	-2.764396136266877	-3.635368118620957
CHEMBL2147	CHEMBL1915438	-1.609438	-2.388149128659012	-1.4696412158325973	-3.0176276485532805
CHEMBL203	CHEMBL4107879	-5.66781	-6.8350180163603635	-8.106814000142153	-5.827284437631289
CHEMBL4439	CHEMBL1766453	-4.543295	-3.5980805400000015	-2.803752902985069	-4.058395556829391
CHEMBL4937	CHEMBL4108038	1.203973	-1.6580042848846148	-1.946559556341064	-1.9878577892681495
CHEMBL203	CHEMBL3965625	-3.912023	-5.673301274949789	-3.6921372072224257	-3.7807342234658323
CHEMBL1974	CHEMBL404367	-1.386294	-2.773982098197179	-1.3188458831327574	-2.254734918880246
CHEMBL1868	CHEMBL214063	-3.637586	-6.561084324430679	-8.17450943601697	-6.481070696448577
CHEMBL2185	CHEMBL595406	-6.086775	-6.398928354851855	-6.602209823945818	-5.3113468985381775
CHEMBL1868	CHEMBL255955	-1.609438	-4.95343366157609	-5.942261661080826	-3.3057388446408
CHEMBL1862	CHEMBL1242748	-3.044522	-3.3292550844444446	-3.0641023026507344	-4.642741179087043
CHEMBL5543	CHEMBL3775949	-7.31322	-5.6741399605125284	-4.506560053621479	-5.805200814979921
CHEMBL260	CHEMBL4088971	-2.484907	-3.611747479308101	-3.6093011105764923	-5.393436827242148
CHEMBL3973	CHEMBL3935124	-3.799302	-4.010837726304944	-3.5012877644790454	-4.411597514784589
CHEMBL2147	CHEMBL3940808	-1.064711	-1.4726129086110198	-0.4668575252779261	-1.4744457214932734
CHEMBL1907600	CHEMBL2314452	-8.070906	-7.306708710524408	-8.24704596333888	-8.380393096961402
CHEMBL1974	CHEMBL374330	-0.693147	-2.938509794449889	-2.852241258166016	-3.41207447007726
CHEMBL4376	CHEMBL2321952	-5.857933	-6.766425828715117	-6.899945294162412	-6.756880732430683
CHEMBL3476	CHEMBL556806	-3.78419	-4.297723302617666	-5.015132225430437	-7.002958457540552
CHEMBL1907600	CHEMBL1782170	-8.89563	-7.658661478075216	-7.249220860722959	-7.7890964490240915
CHEMBL2094127	CHEMBL312657	-5.63479	-5.422726424776229	-5.0710003131337	-5.6731277682368155
CHEMBL5570	CHEMBL3660771	-6.214608	-4.632220599999999	-5.315174537631558	-5.5080299430292
CHEMBL4895	CHEMBL3910520	-2.639057	-3.824126173859801	-3.6185272045371044	-4.042925686271845
CHEMBL4070	CHEMBL3699275	-1.10194	-0.5612719200476196	-0.34945413747487597	0.19895895361165383
CHEMBL1981	CHEMBL209148	-7.003065	-5.824676536618182	-5.127356230139442	-6.239063216549807
CHEMBL1907600	CHEMBL3673434	-4.543295	-5.8663173117205965	-6.099727995938236	-5.859577511336578
CHEMBL2971	CHEMBL3922146	-4.60517	-3.5910708281207975	-4.482777935911108	-2.860462120634821
CHEMBL2292	CHEMBL3335355	-9.179881	-7.33323467120483	-9.52950234858327	-7.797943233074192
CHEMBL203	CHEMBL367754	-7.082549	-4.89207302535625	-5.309766194164942	-5.799836471176571
CHEMBL3717	CHEMBL3287309	-2.572612	-2.9989683116442096	-1.8084801414323977	-4.138148466559603
CHEMBL4439	CHEMBL130025	-5.866468	-6.017137020000003	-6.378530262721002	-5.825254531384129
CHEMBL2842	CHEMBL2158854	-8.070906	-5.719588212811127	-5.8436943119498075	-5.705542318581501
CHEMBL4523	CHEMBL3957954	1.203973	-0.6355716830176261	0.2326608171558034	-0.32712709346490776
CHEMBL2971	CHEMBL3959692	-3.526361	-4.046178797957079	-3.6299600730558557	-3.7224708193484486
CHEMBL2971	CHEMBL3582442	-8.630522	-6.393935711498947	-8.327287098019344	-6.137890260080172
CHEMBL3650	CHEMBL3969747	-3.70721	-1.8594056543011865	-2.024318932101842	-1.7435130236315999
CHEMBL4722	CHEMBL1990583	-1.098612	-4.728022876708937	-4.007893955550926	-5.74486200617404
CHEMBL203	CHEMBL3297900	-4.294561	-5.308469659310656	-5.349097117262077	-6.130478431176627
CHEMBL1824	CHEMBL3964556	-3.912023	-4.735404999919923	-3.9502391281691054	-5.165507802001621
CHEMBL2095217	CHEMBL3895532	-8.517193	-8.18550854	-8.452774541178497	-7.182701334608825
CHEMBL1868	CHEMBL213270	-7.724447	-5.825446048648076	-5.452615630433658	-5.5725824908650505
CHEMBL2094126	CHEMBL307150	-4.248495	-5.489825333462959	-4.863334803298703	-5.388222945291236
CHEMBL2599	CHEMBL4066664	-4.394449	-4.031379046162239	-5.151294495425159	-3.9908119817296663
CHEMBL203	CHEMBL3952188	-3.912023	-3.7522054701668353	-3.7415448831335354	-3.846991351578123
CHEMBL4439	CHEMBL361237	-3.688879	-4.390565619999997	-2.730761805836796	-4.301431915220732
CHEMBL3231	CHEMBL2333884	-3.091042	-2.4715287300633486	-2.2457518489720365	-2.0172764560531373
CHEMBL1907600	CHEMBL1796148	-3.7612	-4.764982624292679	-3.104007630269197	-4.157734370481302
CHEMBL1906	CHEMBL3577117	-1.974081	-2.2418831317681995	-1.857250811017241	-2.7427944467126695
CHEMBL1974	CHEMBL260848	-4.976734	-4.982033271664979	-7.449230849593659	-5.25508049597389
CHEMBL3983	CHEMBL3703178	-5.945421	-6.978457381111107	-8.237911538540073	-8.101300165910306
CHEMBL2971	CHEMBL3947742	-6.620073	-4.1234161929957365	-3.5552157779059628	-3.950531310319484
CHEMBL203	CHEMBL4070053	-1.193922	-2.1263736995653155	-1.4556895240119467	-3.263217347846589
CHEMBL203	CHEMBL131426	-7.003065	-7.189130968925536	-5.797411452182752	-7.306975495550869
CHEMBL2147	CHEMBL2322228	-3.7612	-5.400710618497406	-8.572149150746393	-7.246767766798948
CHEMBL279	CHEMBL2086740	-1.609438	-4.166811931580349	-1.5215366072524814	-5.385243174203786
CHEMBL2971	CHEMBL3658869	-6.238325	-6.289912415452699	-6.854876162140445	-6.301796979603893
CHEMBL203	CHEMBL590878	-1.835776	-3.5321723629759707	-6.690094793386784	-5.535894007857698
CHEMBL2358	CHEMBL3905020	-6.907755	-7.000077226327462	-6.872541192366532	-7.029093383612787
CHEMBL1844	CHEMBL3673465	-2.70805	-2.783463913767079	-4.068890238480142	-3.6309153592470627
CHEMBL1936	CHEMBL477768	-8.070906	-6.870584668640626	-7.238888134876816	-6.488754807614832
CHEMBL4722	CHEMBL510730	-7.438384	-5.075551247636852	-3.98033539157063	-4.541442590118564
CHEMBL203	CHEMBL1958213	-7.60589	-7.786033293053595	-8.589273366367882	-7.487618707742596
CHEMBL2148	CHEMBL3981841	-4.143135	-3.629736820139432	-4.107695030281516	-3.677488402329564
CHEMBL3973	CHEMBL3912505	-6.907755	-5.626260597992047	-6.989592292816984	-4.110765186803023
CHEMBL4630	CHEMBL471156	-4.477337	-5.030674222693301	-4.468802987552849	-5.264661943447745
CHEMBL1936	CHEMBL4074518	-1.360977	-3.1845766943988707	-6.470206354135257	-4.747972532428041
CHEMBL203	CHEMBL554993	-0.993252	-4.508980023783734	-3.0268724736393464	-5.707687422079672
CHEMBL2147	CHEMBL4108465	-1.987874	-1.843704274825348	-1.9448689158011683	-2.015596054450694
CHEMBL2363049	CHEMBL3604943	-0.0	-2.8248634191269932	-1.855590608598163	-3.307676058679873
CHEMBL279	CHEMBL523559	-8.699515	-4.630921048787647	-3.580452936339416	-4.197603696966269
CHEMBL3983	CHEMBL3808564	-4.70048	-2.5123708084523813	-2.0813066759167924	-2.409785359244048
CHEMBL4722	CHEMBL3675524	2.407946	-0.17659970145670043	-0.1461925333427428	-0.1718996536709998
CHEMBL2185	CHEMBL2023228	-4.248495	-3.2357095753777823	-2.673311389320871	-3.9840776159890687
CHEMBL4722	CHEMBL2029906	-2.995732	-3.338762291768454	-3.7041585950831286	-2.6514342445195083
CHEMBL301	CHEMBL103112	-6.907755	-5.682832384941564	-5.001284760820273	-5.919000108961261
CHEMBL4282	CHEMBL3978717	-6.756932	-6.245551032521083	-6.570079916048233	-5.836628110983288
CHEMBL1868	CHEMBL2063334	-6.907755	-5.744792956444994	-5.971918545910105	-6.2796004431184915
CHEMBL4523	CHEMBL2035640	-4.941642	-5.871114389098755	-6.069589894059999	-5.754364974779297
CHEMBL3616	CHEMBL67528	-2.639057	-2.7327478341451035	-3.1927397531952564	-3.585470553213871
CHEMBL4816	CHEMBL2177375	-3.044522	-2.746569281289446	-3.2703785791881277	-3.1056219935592093
CHEMBL3038469	CHEMBL4091242	-3.988984	-5.239149196799999	-5.245515824504921	-5.277750638360957
CHEMBL4722	CHEMBL3675399	-6.173786	-5.635951649824289	-5.975247173761191	-5.171137756718874
CHEMBL2068	CHEMBL3895458	-6.907755	-6.889219253333314	-6.898708051712807	-6.95041396481774
CHEMBL203	CHEMBL178144	-4.219508	-4.477959780454557	-3.341427751131124	-4.752491725990399
CHEMBL2815	CHEMBL3673446	-6.675823	-5.0042315295231985	-4.5701353087858365	-5.76326769972253
CHEMBL2094138	CHEMBL438483	-2.197225	-2.3980982291666675	-1.1107806144854355	-4.11403143311836
CHEMBL4722	CHEMBL3685256	2.525729	-2.2367466393995064	-1.9885990675672294	-2.129185672042902
CHEMBL4523	CHEMBL2035608	-8.517193	-7.706756506448752	-7.551545480000227	-7.369007378626362
CHEMBL203	CHEMBL1958210	-8.626944	-7.571896681331222	-5.701914619492639	-7.464908174809732
CHEMBL2971	CHEMBL3671145	-6.907755	-6.891828300464019	-6.900498988541255	-6.610802401206936
CHEMBL4895	CHEMBL452965	-6.214608	-4.70779689230303	-5.275980582991191	-4.920163966386511
CHEMBL3973	CHEMBL3942506	-4.236712	-2.6302423611660743	-3.64702855825375	-2.3123379752840045
CHEMBL279	CHEMBL396144	-8.077137	-6.083349864012331	-6.75363909874516	-5.257191942984103
CHEMBL279	CHEMBL1087649	-5.560682	-5.161240452536548	-4.163939975895015	-5.133538369878787
CHEMBL4247	CHEMBL2403367	-7.31322	-7.1019940449783565	-7.544821730591001	-7.049833820377666
CHEMBL2850	CHEMBL3984472	-7.352441	-7.134921576108312	-7.462962129818255	-6.742045163148646
CHEMBL3650	CHEMBL13354	-7.863267	-7.153838540992603	-8.901897935063074	-6.5301016766015705
CHEMBL3973	CHEMBL3949508	-5.503175	-4.360479074690466	-4.358552398147164	-4.450788575278656
CHEMBL1981	CHEMBL1630118	-7.438384	-7.645442804549289	-7.711158519916795	-8.363687603834489
CHEMBL4523	CHEMBL3969621	-4.300003	-4.377759254630483	-3.8102010882060102	-3.010127824813555
CHEMBL2094128	CHEMBL577172	-5.703782	-5.981088717787589	-5.958702059408675	-6.654419584014678
CHEMBL3650	CHEMBL194872	-4.219508	-4.065389132629556	-5.15350992395678	-4.554251699750461
CHEMBL279	CHEMBL3952706	-6.907755	-7.648121475181106	-7.887659138132164	-7.509283031022004
CHEMBL2842	CHEMBL1242752	-7.783224	-7.176693734625202	-7.99557851591425	-8.10205243266034
CHEMBL1907601	CHEMBL3604470	-3.713572	-1.1611962815333143	0.226877668956236	-1.846619125078937
CHEMBL4179	CHEMBL67633	-5.164786	-6.061711910990933	-5.281401300658347	-6.14610142700969
CHEMBL279	CHEMBL2018755	-6.745236	-7.32331532411707	-8.391730704753956	-6.5793051762993
CHEMBL1974	CHEMBL3948744	-9.049159	-7.807360646994387	-7.752195568195499	-7.79618447753308
CHEMBL5147	CHEMBL3923449	-3.912023	-3.919110959474248	-3.890259436172359	-3.7128052974493415
CHEMBL203	CHEMBL595406	-5.521461	-5.739512326227659	-4.315069818657319	-5.612728222902492
CHEMBL2358	CHEMBL3929226	-7.824046	-7.3120650783615	-7.332265906708055	-7.1671623270348075
CHEMBL2358	CHEMBL3974603	-6.907755	-6.9453299310527346	-6.970085227793683	-6.982942534998605
CHEMBL203	CHEMBL177688	-7.21524	-7.406061968409288	-8.864965009920882	-5.447967691934083
CHEMBL5407	CHEMBL3676283	-1.098612	-2.385941542307668	-1.421419502750077	-1.7315852694955565
CHEMBL2185	CHEMBL2163394	-1.098612	-3.744944506199661	-3.040742914886832	-3.817202249121993
CHEMBL2185	CHEMBL3680392	-0.741937	-1.0789301487789669	-2.003695877106323	-1.26941398892781
CHEMBL3973	CHEMBL3937972	-1.312379	-2.530853921967966	-2.5847541295887684	-2.9814684808324037
CHEMBL4722	CHEMBL3680551	1.514128	-2.3623360818873	0.13245332181843406	-1.8635019422733352
CHEMBL4722	CHEMBL3393489	-2.833213	-2.4312149195752824	-0.9714786056761837	-3.1605536139466928
CHEMBL2815	CHEMBL3676059	-4.241327	-2.517943275267042	-5.066966734521794	-2.5109173321729252
CHEMBL4501	CHEMBL3675507	-2.639057	-0.3420727162751737	-1.2238361828170283	-1.0974451337335518
CHEMBL2094126	CHEMBL575450	-4.60517	-6.1644660480763385	-5.4295043075670035	-5.687853983516858
CHEMBL4722	CHEMBL3675413	-0.0	-0.08702317989265053	0.7148215716174201	-0.655319753541237
CHEMBL308	CHEMBL316512	-7.824046	-6.731760823106005	-7.9621600653403615	-7.562078605764221
CHEMBL2637	CHEMBL1923195	-5.298317	-4.103456076623873	-3.5540901369690583	-4.376496236007318
CHEMBL1868	CHEMBL207975	-5.598422	-6.12247987864617	-5.634576825750084	-6.38260370605554
CHEMBL4179	CHEMBL609039	-5.669881	-5.806873997590325	-5.654871205458609	-6.0095462740139824
CHEMBL279	CHEMBL3898908	-8.012996	-7.422294794465958	-7.933215085460371	-7.736600626914424
CHEMBL3650	CHEMBL86943	-8.517193	-7.039258340565073	-8.30749882332297	-6.796806733713861
CHEMBL1844	CHEMBL4084868	-3.346389	-3.0920341103660975	-3.2104780370590107	-2.960332873830245
CHEMBL1868	CHEMBL209265	-5.135798	-4.719994347222016	-3.744059060780137	-4.155680429212488
CHEMBL5147	CHEMBL3946018	-6.907755	-5.613691494786052	-6.743850806736427	-5.477929121038391
CHEMBL2148	CHEMBL3652374	-5.68358	-4.801168996177758	-4.543690450082184	-5.4316653889124025
CHEMBL4722	CHEMBL2380831	-1.609438	-2.068141064473185	-1.3594208230665346	-2.256414113871579
CHEMBL1936	CHEMBL204120	-5.451038	-4.332749548461405	-3.7979220235716165	-4.657794622729971
CHEMBL4142	CHEMBL3945159	-0.575489	-1.2626375213230903	-1.0239796537917805	-0.6480376171089492
CHEMBL5147	CHEMBL1242377	-5.111988	-6.529342051476214	-5.387075469324008	-6.9864210819420185
CHEMBL203	CHEMBL255656	-3.135494	-3.562914017086408	-2.5174834795431194	-3.7349770240369704
CHEMBL3553	CHEMBL3979623	-5.703782	-5.610174921861832	-5.307407774120055	-5.452493498476845
CHEMBL3650	CHEMBL1738735	-6.733402	-6.102421471318479	-8.687519937327567	-7.434124766728151
CHEMBL2276	CHEMBL1644638	-6.040255	-7.0701182417525725	-6.748146434118867	-6.803812972937571
CHEMBL203	CHEMBL3765263	-0.113329	-2.31361993130825	-1.0988749064944316	-2.5161957201428224
CHEMBL3234	CHEMBL1241241	-3.850148	-4.447949677070474	-4.106830447723758	-5.144458260887365
CHEMBL2695	CHEMBL3645066	-8.006034	-7.545807307383706	-8.038662012690335	-8.164376980957176
CHEMBL2749	CHEMBL322298	-6.684612	-5.452626682758621	-5.734019022252526	-5.871888650153615
CHEMBL3650	CHEMBL209783	-4.60517	-4.052266270556126	-4.3645727117062325	-4.072448653303502
CHEMBL2276	CHEMBL1761562	-4.60517	-4.451222558688547	-3.2302385254419623	-4.902322869541866
CHEMBL1913	CHEMBL496763	-0.0	-0.915219414181485	-0.7602463249848698	-1.75162002700183
CHEMBL2148	CHEMBL3984768	-1.609438	-2.060770645693377	-0.9874360317392226	-1.013160408564774
CHEMBL279	CHEMBL3939671	-3.912023	-3.9561949355324493	-3.7288084040521103	-4.152182638381136
CHEMBL2185	CHEMBL604992	-3.713572	-4.216023703281212	-4.01974247830572	-5.435607426346592
CHEMBL1974	CHEMBL189963	-8.154788	-2.530667521248786	-4.487811866525772	-4.179183588772216
CHEMBL279	CHEMBL3955359	-6.907755	-6.32159283483102	-7.256807556914568	-5.336143381217878
CHEMBL4376	CHEMBL3589664	-8.987197	-4.086857896070597	-4.257192441732917	-4.756381114392995
CHEMBL4523	CHEMBL3924828	1.660731	1.714370015666668	2.309754581490428	0.6787462733863077
